,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.416667,2.0,0.833333,0.0,0.0,4.0,0.25,3.0,0.5,3.0,0.833333,7.0,1.0,8.0,0.769231,0.0,0.0,4.0,1.5,5.0,1.16667,1.0,1.0,4.0,0.5,4.0,1.0,4.0,1.0,2.0,0.333333,6.0,0.541667,9.0,0.672222,3.0,0.5,5.0,1.33333,5.0,1.33333,0.0,0.0,4.0,0.25,2.0,0.5,3.0,0.333333,0.0,0.0,8.0,0.75,8.0,0.75,1.0,0.25,3.0,0.666667,6.0,1.5,0.0,0.0,0.0,0.0,8.0,1.025,2.0,0.222222,7.0,0.716667,3.0,0.466667,6.0,0.8,2.0,0.133333,2.0,0.2,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0833333,3.0,0.166667,0.0,0.0,6.0,0.666667,8.0,0.642857,8.0,1.5,3.0,0.428571,9.0,0.692308,3.0,1.66667,3.0,0.666667,9.0,1.33333,3.0,1.33333,3.0,0.333333,3.0,0.333333,3.0,0.333333,4.0,0.166667,3.0,0.125,8.0,0.625,5.0,1.16667,2.0,0.75,2.0,0.75,2.0,0.666667,0.0,0.0,3.0,0.333333,6.0,0.388889,10.0,1.83333,10.0,0.916667,10.0,0.916667,5.0,1.25,2.0,0.333333,9.0,1.83333,8.0,3.33333,8.0,3.33333,6.0,0.333333,6.0,0.625,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.333333,1.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,4.0,1.0,0.0,0.0,2.0,0.125,5.0,0.166667,5.0,0.333333,9.0,0.714286,13.0,0.538462,1.0,0.666667,5.0,1.5,7.0,0.666667,3.0,0.666667,7.0,0.833333,8.0,1.33333,8.0,1.33333,5.0,0.666667,6.0,0.666667,10.0,1.06667,3.0,0.666667,3.0,0.75,3.0,0.75,2.0,0.666667,10.0,0.833333,0.0,0.0,1.0,0.166667,0.0,0.0,2.0,0.25,2.0,0.25,6.0,1.5,8.0,1.33333,2.0,0.166667,1.0,0.0,1.0,0.0,13.0,0.933333,7.0,0.775,9.0,0.785714,5.0,0.571429,5.0,0.190476,5.0,0.571429,5.0,0.571429,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.416667,3.0,0.833333,2.0,0.166667,3.0,0.25,4.0,0.222222,4.0,0.666667,7.0,0.571429,8.0,0.461538,5.0,1.33333,2.0,0.666667,5.0,0.833333,1.0,0.666667,5.0,0.666667,4.0,0.5,4.0,0.5,8.0,1.16667,8.0,1.04167,12.0,0.627778,6.0,0.833333,2.0,0.666667,2.0,0.666667,2.0,0.666667,2.0,0.166667,5.0,0.666667,6.0,0.611111,2.0,0.833333,4.0,0.583333,4.0,0.583333,1.0,0.25,6.0,1.33333,2.0,0.333333,0.0,0.0,0.0,0.0,4.0,0.475,2.0,0.222222,3.0,0.446429,3.0,0.714286,3.0,0.738095,3.0,0.380952,1.0,0.142857,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.0,0.0,10.0,1.25,5.0,0.777778,5.0,1.33333,3.0,0.285714,9.0,0.615385,0.0,0.0,6.0,1.83333,6.0,1.16667,2.0,1.33333,5.0,1.0,4.0,0.833333,4.0,0.833333,9.0,1.0,7.0,0.666667,8.0,1.06667,6.0,1.83333,5.0,1.5,5.0,1.5,1.0,0.333333,6.0,0.666667,1.0,0.166667,1.0,0.111111,2.0,0.5,5.0,0.5,5.0,0.5,2.0,1.0,1.0,0.166667,8.0,1.66667,3.0,1.0,3.0,1.0,6.0,0.15,4.0,0.111111,2.0,0.0,3.0,0.5,4.0,0.333333,3.0,0.166667,2.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0833333,1.0,0.166667,1.0,0.166667,3.0,0.444444,7.0,0.555556,7.0,1.0,5.0,0.285714,9.0,0.538462,1.0,0.333333,3.0,0.666667,11.0,1.44444,3.0,1.33333,2.0,0.166667,4.0,1.33333,4.0,1.33333,1.0,0.166667,6.0,0.541667,12.0,0.75,4.0,0.666667,5.0,1.83333,5.0,1.83333,2.0,1.0,7.0,0.833333,1.0,0.0,1.0,0.0,3.0,1.0,4.0,0.25,4.0,0.25,2.0,0.75,3.0,1.0,5.0,1.0,4.0,2.0,4.0,2.0,13.0,0.7875,8.0,0.85,5.0,0.316667,3.0,0.1,6.0,0.4,3.0,0.1,3.0,0.1,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333,1.0,0.666667,0.0,0.0,1.0,0.0,3.0,0.25,3.0,0.5,11.0,1.0,16.0,0.923077,1.0,0.666667,4.0,0.666667,8.0,0.833333,3.0,1.0,3.0,0.666667,4.0,0.833333,4.0,0.833333,3.0,0.666667,1.0,0.125,11.0,1.30556,7.0,1.66667,5.0,1.33333,5.0,1.33333,2.0,1.0,3.0,0.416667,3.0,0.333333,3.0,0.222222,1.0,0.166667,2.0,0.333333,2.0,0.166667,5.0,1.25,9.0,2.0,3.0,1.0,1.0,0.333333,1.0,0.333333,2.0,0.3,1.0,0.125,0.0,0.0,0.0,0.0,2.0,0.333333,2.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0833333,1.0,0.166667,1.0,0.0833333,7.0,0.875,5.0,0.25,5.0,0.5,0.0,0.0,3.0,0.153846,2.0,1.0,3.0,0.666667,4.0,0.166667,2.0,0.333333,7.0,1.5,6.0,1.66667,6.0,1.66667,7.0,1.16667,5.0,0.666667,5.0,0.288889,2.0,0.333333,5.0,1.58333,5.0,1.58333,3.0,1.33333,6.0,0.333333,3.0,0.5,3.0,0.333333,1.0,0.166667,3.0,0.25,3.0,0.5,0.0,0.0,5.0,0.833333,3.0,0.666667,1.0,0.333333,1.0,0.333333,9.0,0.966667,2.0,0.2,10.0,2.3,3.0,2.2,4.0,1.57778,3.0,2.2,3.0,2.2,1.0,1.33333,1.0,1.33333
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.0,0.0,7.0,0.625,5.0,0.666667,5.0,1.33333,3.0,0.285714,5.0,0.307692,0.0,0.0,2.0,0.666667,7.0,1.16667,1.0,0.333333,3.0,0.5,2.0,0.666667,2.0,0.666667,2.0,0.166667,5.0,0.541667,8.0,0.805556,5.0,1.16667,4.0,1.08333,4.0,1.08333,4.0,0.666667,11.0,1.08333,3.0,0.333333,3.0,0.222222,1.0,0.333333,3.0,0.333333,3.0,0.333333,1.0,0.0,2.0,0.333333,8.0,1.66667,3.0,1.66667,3.0,1.66667,10.0,0.8,6.0,0.7,8.0,6.8,5.0,6.46667,6.0,6.68889,5.0,6.46667,5.0,9.7,1.0,9.5,1.0,9.5
9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.166667,2.0,0.333333,0.0,0.0,0.0,0.0,5.0,0.75,5.0,1.5,11.0,1.14286,18.0,1.30769,3.0,0.333333,4.0,1.0,8.0,1.0,4.0,2.0,8.0,1.66667,7.0,2.16667,7.0,2.16667,4.0,1.16667,2.0,0.125,9.0,0.838889,6.0,1.33333,6.0,1.33333,6.0,1.33333,3.0,1.0,4.0,0.166667,4.0,0.5,4.0,0.333333,3.0,0.5,6.0,0.666667,6.0,0.666667,5.0,1.0,3.0,0.5,4.0,0.666667,4.0,1.33333,4.0,1.33333,13.0,0.62,9.0,0.95,6.0,0.225,4.0,0.133333,4.0,0.133333,6.0,0.466667,4.0,0.2,1.0,0.0,1.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.333333,8.0,0.571429,8.0,1.33333,3.0,0.571429,9.0,0.615385,4.0,2.33333,4.0,0.666667,0.0,0.0,0.0,0.0,3.0,0.666667,4.0,0.833333,4.0,0.833333,7.0,1.33333,11.0,1.5,9.0,0.75,2.0,0.166667,5.0,1.41667,5.0,1.41667,2.0,0.333333,11.0,1.0,2.0,0.166667,3.0,0.277778,3.0,0.666667,5.0,0.5,5.0,0.5,2.0,0.5,3.0,0.5,2.0,0.333333,1.0,0.333333,1.0,0.333333,9.0,0.6,6.0,0.333333,6.0,0.45,6.0,0.45,7.0,0.633333,6.0,0.45,6.0,0.45,1.0,0.25,1.0,0.25
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.125,4.0,0.0833333,4.0,0.166667,10.0,0.714286,15.0,0.615385,0.0,0.0,2.0,0.833333,5.0,0.333333,0.0,0.0,7.0,0.666667,6.0,0.666667,6.0,0.666667,7.0,1.0,3.0,0.333333,6.0,0.466667,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.666667,4.0,0.25,7.0,0.833333,8.0,0.555556,1.0,0.5,4.0,0.5,4.0,0.5,5.0,0.75,5.0,0.833333,3.0,0.166667,1.0,0.0,1.0,0.0,6.0,0.3125,2.0,0.0,7.0,0.5625,5.0,0.75,6.0,0.666667,5.0,0.583333,3.0,0.5,2.0,0.5,2.0,0.5
12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.166667,2.0,0.333333,0.0,0.0,5.0,0.444444,7.0,0.5,7.0,1.16667,9.0,0.857143,15.0,0.846154,3.0,1.33333,6.0,1.0,13.0,1.66667,5.0,1.33333,4.0,0.833333,3.0,0.5,3.0,0.5,6.0,0.666667,10.0,0.916667,10.0,0.875,4.0,0.666667,1.0,0.166667,1.0,0.166667,2.0,0.333333,10.0,1.0,2.0,0.333333,2.0,0.222222,4.0,0.666667,5.0,0.416667,5.0,0.416667,7.0,1.5,8.0,1.5,5.0,1.0,2.0,1.0,2.0,1.0,8.0,1.0,5.0,0.444444,6.0,0.966667,4.0,0.466667,4.0,0.466667,4.0,0.466667,4.0,0.7,1.0,0.5,1.0,0.5
13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.416667,3.0,0.833333,1.0,0.0833333,2.0,0.125,4.0,0.583333,4.0,1.16667,5.0,0.428571,8.0,1.31667,4.0,1.33333,6.0,2.0,9.0,1.5,3.0,2.33333,3.0,0.5,3.0,0.833333,3.0,0.833333,2.0,0.333333,1.0,0.125,7.0,0.416667,5.0,0.5,1.0,0.25,1.0,0.25,1.0,0.333333,4.0,0.333333,3.0,0.166667,3.0,0.111111,0.0,0.0,4.0,0.333333,4.0,0.333333,2.0,0.25,9.0,1.5,6.0,1.5,3.0,1.0,3.0,1.0,11.0,0.7875,2.0,0.225,3.0,0.65,1.0,0.1,5.0,0.466667,1.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0
